Average of latency,Column Labels,,,
Row Labels,1,2,3,Grand Total
16450065651,,,25.28865979,25.28865979
16450065652,,,26.06315789,26.06315789
16450065653,,,25.93939394,25.93939394
16450065654,,,25.81443299,25.81443299
16450065655,,,26.82608696,26.82608696
16450065656,,,25.36363636,25.36363636
16450065657,,,26.44,26.44
16450065658,,,25.33695652,25.33695652
16450065659,,,30.5308642,30.5308642
16450065660,,,31.17721519,31.17721519
16450065661,,,26.06,26.06
16450065662,,,25.71578947,25.71578947
16450065663,,,25.01020408,25.01020408
16450065664,,,27.04040404,27.04040404
16450065665,,,25.66315789,25.66315789
16450065666,,,26.18085106,26.18085106
16450065667,,,25.21212121,25.21212121
16450065668,,,25.67,25.67
16450065669,,,32.1971831,32.1971831
16450065670,,,27.60204082,27.60204082
16450065671,,,35.62121212,35.62121212
16450065672,,,27.11340206,27.11340206
16450065673,,,39.32786885,39.32786885
16450065674,,,27.42105263,27.42105263
16450065675,,,29.48148148,29.48148148
16450065676,,,26.77894737,26.77894737
16450065677,,,24.47115385,24.47115385
16450065678,,,24.90909091,24.90909091
16450065679,,,25.77,25.77
16450065680,,,25.43157895,25.43157895
16450065681,,,25.37254902,25.37254902
16450065682,,,25.05882353,25.05882353
16450065683,,,26.35555556,26.35555556
16450065684,,,25.63366337,25.63366337
16450065685,,,26.13978495,26.13978495
16450065686,,,26.1875,26.1875
16450065687,,,27.0106383,27.0106383
16450065688,,,33.65333333,33.65333333
16450065689,,,28.66292135,28.66292135
16450065690,,,26.7752809,26.7752809
16450065691,,,27.98913043,27.98913043
16450065692,,,24.86868687,24.86868687
16450065693,,,24.24752475,24.24752475
16450065694,,,24.95876289,24.95876289
16450065695,,,25.14423077,25.14423077
16450065696,,,26.22340426,26.22340426
16450065697,,,25.09574468,25.09574468
16450065698,,,25.75757576,25.75757576
16450065699,,,27.8902439,27.8902439
16450065700,,,26.50704225,26.50704225
16450065701,,,29.4137931,29.4137931
16450065702,,,25.88333333,25.88333333
16450065703,,,24.33333333,24.33333333
16450065704,,,21.8,21.8
Grand Total,30.71354167,78.86654481,28.19105,62.52915257
