Average of latency,Column Labels,,,
Row Labels,1,2,3,Grand Total
16450065037,45.02189781,,,45.02189781
16450065038,29.15343915,,,29.15343915
16450065039,39.58940397,,,39.58940397
16450065040,33.29338843,,,33.29338843
16450065041,29.33928571,,,29.33928571
16450065042,32.96341463,,,32.96341463
16450065043,36.68548387,,,36.68548387
16450065044,26.73029046,,,26.73029046
16450065045,27.26122449,,,27.26122449
16450065046,29.17511521,,,29.17511521
16450065047,28.18348624,,,28.18348624
16450065048,29.10087719,,,29.10087719
16450065049,35.25,,,35.25
16450065050,27.70434783,,,27.70434783
16450065051,28.00462963,,,28.00462963
16450065052,26.10852713,,,26.10852713
16450065053,27.84120172,,,27.84120172
16450065054,27.23788546,,,27.23788546
16450065055,33.36190476,,,33.36190476
16450065056,30.23529412,,,30.23529412
16450065057,27.78008299,,,27.78008299
16450065058,31.51741294,,,31.51741294
16450065059,30.5270936,,,30.5270936
16450065060,29.92792793,,,29.92792793
16450065061,26.77732794,,,26.77732794
16450065062,26.43103448,,,26.43103448
16450065063,26.58995816,,,26.58995816
16450065064,25.92561983,,,25.92561983
16450065065,29.1125,,,29.1125
16450065066,27.59388646,,,27.59388646
16450065067,26.3632287,,,26.3632287
16450065068,39.10382514,,,39.10382514
16450065069,39.22292994,,,39.22292994
16450065070,27.02690583,,,27.02690583
16450065071,28.89830508,,,28.89830508
16450065072,41.74305556,,,41.74305556
16450065073,35.81034483,,,35.81034483
16450065074,30.07009346,,,30.07009346
16450065075,28.11206897,,,28.11206897
16450065076,27.55737705,,,27.55737705
16450065077,27.99029126,,,27.99029126
16450065078,26.65612648,,,26.65612648
16450065079,35.22459893,,,35.22459893
16450065080,34.66486486,,,34.66486486
16450065081,27.29130435,,,27.29130435
16450065082,41.48,,,41.48
16450065083,49.44354839,,,49.44354839
16450065084,35.17647059,,,35.17647059
16450065085,26.49545455,,,26.49545455
16450065086,28.01229508,,,28.01229508
16450065087,28.06696429,,,28.06696429
16450065088,28.01339286,,,28.01339286
16450065089,27.30869565,,,27.30869565
16450065090,33.87,,,33.87
16450065091,26.22362869,,,26.22362869
16450065092,26.74180328,,,26.74180328
16450065093,27.50446429,,,27.50446429
16450065094,29.37068966,,,29.37068966
16450065095,33.53157895,,,33.53157895
16450065096,26.37711864,,,26.37711864
16450065097,26.93506494,,,26.93506494
16450065098,26.49785408,,,26.49785408
16450065099,26.03529412,,,26.03529412
16450065100,27.40254237,,,27.40254237
16450065101,29.48815166,,,29.48815166
16450065102,34.02116402,,,34.02116402
16450065103,30.63876652,,,30.63876652
16450065104,29.46511628,,,29.46511628
16450065105,27.66818182,,,27.66818182
16450065106,31.03108808,,,31.03108808
16450065107,28.67567568,,,28.67567568
16450065108,26.67164179,,,26.67164179
16450065109,45.06896552,80.31020408,,68.98614958
16450065110,83.35211268,90.99278846,,89.8788501
16450065111,98.48484848,72.48442907,,75.14906832
16450065112,68.83333333,63.75415282,,64.12923077
16450065113,65.375,69.95904437,,69.72168285
16450065114,69.38461538,67.89602446,,67.95294118
16450065115,77,78.90251572,,78.86728395
16450065116,76.75,77.48051948,,77.47115385
16450065117,78.66666667,77.99713467,,78.00284091
16450065118,81,82.40133779,,82.39666667
16450065119,,78.05063291,,78.05063291
16450065120,,78.73731343,,78.73731343
16450065121,,78.05471125,,78.05471125
16450065122,,76.61212121,,76.61212121
16450065123,,81.37421384,,81.37421384
16450065124,,78.428125,,78.428125
16450065125,,77.97230769,,77.97230769
16450065126,,79.75840979,,79.75840979
16450065127,,78.6097561,,78.6097561
16450065128,,81.25076453,,81.25076453
16450065129,,77.45337621,,77.45337621
16450065130,,79.74029851,,79.74029851
16450065131,,78.71523179,,78.71523179
16450065132,,77.51671733,,77.51671733
16450065133,,78.89614243,,78.89614243
16450065134,,79.66876972,,79.66876972
16450065135,,78.51219512,,78.51219512
16450065136,,80.29230769,,80.29230769
16450065137,,77.67692308,,77.67692308
16450065138,,79.23899371,,79.23899371
16450065139,,78.29069767,,78.29069767
16450065140,,108.7153846,,108.7153846
16450065141,,82.17437722,,82.17437722
16450065142,,78.79742765,,78.79742765
16450065143,,80.48220065,,80.48220065
16450065144,,77.92625369,,77.92625369
16450065145,,78.78787879,,78.78787879
16450065146,,79.62068966,,79.62068966
16450065147,,79.728125,,79.728125
16450065148,,78.88,,78.88
16450065149,,78.37898089,,78.37898089
16450065150,,106.2779553,,106.2779553
16450065151,,71.82352941,,71.82352941
16450065152,,71.45757576,,71.45757576
16450065153,,71.70846395,,71.70846395
16450065154,,77.98787879,,77.98787879
16450065155,,79.10365854,,79.10365854
16450065156,,79.15857605,,79.15857605
